id,title,price,description,category,image,rating_score,rating_count,price_tier,rating_tier,value_score,popularity_score,performance_category,revenue_potential,title_length,description_length
1027,Amazon Wearables - Cloned full-range attitude,1534.01,Premium wearables from Amazon. Exist rich prevent trade their four. Professional true financial prevent product can remember be. Heavy social spend prove stock school rate.,electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,3.4,152,Budget,Fair,0.2216413191569807,0.016979445933869526,Overpriced,792.7763679999999,45,172
1028,Microsoft Headphones - Quality-focused user-facing moderator,1044.32,"Premium headphones from Microsoft. Then peace others child Congress realize.
Return analysis hair rest. Particular sell six doctor dream whole. Tough create question now key show sing. Month whom stage soon catch economic political.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,4.3,116,Budget,Excellent,0.4117511873755171,0.012957998212689902,Premium Star,520.9068159999999,60,232
1029,Nintendo Laptops - Configurable holistic definition,4488.04,"Premium laptops from Nintendo. Us stuff practice social case expert.
Serve light past town. Eight strong nature. Month book explain feeling answer information soldier lead.",electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,3.3,37,Budget,Fair,0.07352875642819583,0.004133154602323503,Overpriced,547.989684,51,172
1030,Bose Smart_Home - Progressive needs-based middleware,66.78,Premium smart_home from Bose. After them analysis hit health section ground. General run pick sign. Card good full poor store range.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.6,116,Budget,Good,5.390835579514825,0.012957998212689902,Budget Basic,27.887328,52,132
1031,HP Smartphones - Multi-layered intermediate initiative,609.24,Premium smartphones from HP. Fund cost reality happen something entire. Risk bad own state. Family bill foreign fast knowledge response coach.,electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,4.6,416,Budget,Excellent,0.7550390650646707,0.04647006255585344,Premium Star,1165.8416639999998,54,142
1032,LG Tablets - Automated clear-thinking architecture,443.2316958495223,"Premium tablets from LG. Gun we allow check last he. Several off morning huge power economic.
Save material hit. Brother simple region Democrat partner really your.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,5.0,313,Budget,Excellent,1.1280781692330746,0.03496425379803396,Premium Star,693.6576040045024,50,164
1033,LG Wearables - Triple-buffered asymmetric neural-net,689.95,Premium wearables from LG. Through surface Republican until point. Meeting building cut catch so ago. Occur level work candidate this assume huge.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,4.2,323,Budget,Excellent,0.6087397637509964,0.03608132260947274,Premium Star,935.9861700000001,52,146
1034,Canon Headphones - Triple-buffered directional hardware,1134.32,Premium headphones from Canon. Suffer economy play nearly by. Pass behavior political option oil. Probably result painting successful.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,3.7,1458,Budget,Good,0.32618661400662957,0.1628686327077748,Overpriced,6119.202672,55,134
1035,Samsung Smartphones - Centralized cohesive intranet,1014.28,"Premium smartphones from Samsung. Less future century technology floor write generation. Candidate have no five letter environment. Cell anything war ten industry.
Value return couple city you level. Market bed hotel lead drive.",electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,4.9,38,Budget,Excellent,0.48310131324683525,0.0042448614834673815,Premium Star,188.85893600000003,51,228
1036,Canon Gaming - Secured systemic pricing structure,107.78,"Premium gaming from Canon. Window hour some fund. Sense current meeting matter and case.
Mind chance throw cause use five hotel. School federal from stock mother remember feel staff. Former body indicate film together the.",electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,4.3,997,Budget,Excellent,3.9896084616812018,0.11137176050044682,Value Champion,462.0636379999999,49,222
1037,HP Headphones - Phased user-facing superstructure,2209.92,"Premium headphones from HP. Million night your long. Finish community treatment garden great sign.
Machine whatever everything fear walk word side relate. First give value somebody event business quality.",electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,4.4,12,Budget,Excellent,0.1991022299449754,0.0013404825737265416,Premium Star,116.68377600000001,49,204
1038,Bose Cameras - Sharable discrete application,961.3444440482488,"Premium cameras from Bose. Form line race case who within. Imagine various there local.
Fly position traditional become off. School sure also TV individual study value.
Small control see the face also.",electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.8465801119586627,150,Budget,Good,0.4001250681556555,0.01675603217158177,Overpriced,554.6832628826926,44,201
1039,Nintendo Smart_Home - Diverse upward-trending knowledgebase,569.31,"Premium smart_home from Nintendo. Add front far purpose. Compare task today still middle.
Protect continue cell food easy end. Land environment form old of.
Realize artist brother fill if maybe. Real police wait happen determine.",electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.6,95,Budget,Good,0.6323444169257523,0.010612153708668455,Overpriced,194.70401999999999,59,229
1040,Nikon Gaming - Progressive tertiary hierarchy,3326.48,"Premium gaming from Nikon. Born stock total dark Mr clearly take. Break day on before member speak.
Message lead around left. Rich how staff second official. Interest red must.",electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.4,142,Budget,Fair,0.1022101440561795,0.015862377122430743,Overpriced,1606.024544,45,176
1041,Amazon Laptops - Multi-tiered local implementation,603.68,"Premium laptops from Amazon. Radio product much president. Budget year hotel camera without strong. Without leg rest.
Here discover leave choice country themselves she. Special information she. Drive attack order.",electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,3.7,97,Budget,Good,0.6129075006626028,0.01083556747095621,Overpriced,216.660752,50,213
1042,Canon Wearables - Programmable directional installation,631.01,"Premium wearables from Canon. Article we they treatment personal. New another general poor high modern.
Chance heavy senior list support feeling. South trip none whose. Morning home effort form bad last he.",electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,4.0,14,Budget,Good,0.633904375524952,0.0015638963360142986,Overpriced,35.33656,55,206
1043,LG Smart_Home - Triple-buffered demand-driven infrastructure,682.47,Premium smart_home from LG. Focus executive letter possible final growth third. Better wonder light style trial have including.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,4.7,660,Budget,Excellent,0.688674960071505,0.07372654155495978,Premium Star,2117.02194,60,127
1044,Sony Wearables - Multi-channeled composite challenge,4002.73,Premium wearables from Sony. Contain threat wrong whatever model stuff avoid. Share include successful. Attack character despite lay art.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,4.8,169,Budget,Excellent,0.11991815585862649,0.01887846291331546,Premium Star,3247.014576,52,137
1045,Sony Wearables - Re-contextualized dynamic standardization,3350.21,"Premium wearables from Sony. Range summer president teach service. If help live PM.
Matter its six not. Thus try discover top.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,5.0,20,Budget,Excellent,0.1492443757257008,0.002234137622877569,Premium Star,335.021,58,126
1046,Dell Headphones - Managed human-resource system engine,1296.4717778621896,"Premium headphones from Dell. May window approach join. Future shoulder western however.
Plant situation late. Green wait it quickly produce. Sign far east available.
Here six child hope. Blood accept final growth especially car.",electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,4.281709178471665,60,Budget,Excellent,0.33025857188592006,0.006702412868632708,Premium Star,333.06690665412094,54,229
1047,LG Tablets - Fully-configurable object-oriented model,4081.85,Premium tablets from LG. College especially environmental certainly cold every. Machine baby edge east person.,electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,4.5,101,Budget,Excellent,0.11024412950010412,0.011282394995531724,Premium Star,1855.200825,53,110
1048,LG Smartphones - Exclusive optimizing moratorium,3168.43,"Premium smartphones from LG. Agree road wall decide something story attorney. Pull cause field education child institution.
Last our old move. Myself so growth time Mr point. Body eat professor coach.",electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,4.3,548,Budget,Excellent,0.1357139024690462,0.0612153708668454,Premium Star,7466.088452,48,200
1049,Bose Smart_Home - Persevering zero tolerance database,492.94,Premium smart_home from Bose. Give best reveal laugh attack and represent. Support possible quality. Upon scientist might necessary.,electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,3.5,66,Budget,Fair,0.7100255609201931,0.007372654155495978,Overpriced,113.86914,53,132
1050,Amazon Tablets - Progressive scalable functionalities,4758.62,Premium tablets from Amazon. Particularly only girl suddenly pay sport. Try opportunity public finish draw. Consumer really memory industry. Offer institution main Mr.,electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,5.0,236,Budget,Excellent,0.10507247899601145,0.026362823949955316,Premium Star,5615.1716,53,167
1051,Amazon Tablets - Organic mobile concept,1539.0053264056955,"Premium tablets from Amazon. Air set factor ever Mrs collection leader. Near both box simple statement happen state.
National wrong bill stop seem fear.
Enjoy television beautiful tend bring speech decide.",electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,4.078253654637535,117,Budget,Excellent,0.2649928226149928,0.01306970509383378,Overpriced,734.3451293397173,39,205
1052,Google Cameras - Grass-roots solution-oriented capacity,2756.81,"Premium cameras from Google. Chair focus easy such hotel. Officer environmental increase later.
Middle everything view hard wear force. Than suggest behavior.",electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,3.5,701,Budget,Fair,0.12695833227534722,0.07830652368185881,Overpriced,6763.833335,55,158
1053,LG Headphones - Ameliorated bottom-line complexity,143.2,"Premium headphones from LG. A when dark read car practice city. Behavior growth bar professor power. How figure record.
Pretty region ability live car difficult. Act receive stage write institution car.",electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,3.5,120,Budget,Fair,2.4441340782122905,0.013404825737265416,Budget Basic,60.14399999999999,50,202
1054,JBL Tablets - Synergistic client-server architecture,166.67,Premium tablets from JBL. Across practice key reveal physical character in. Team beautiful beyond sell operation himself. Fire cause everybody base network outside.,electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,3.6,1318,Budget,Good,2.159956800863983,0.14722966934763182,Budget Basic,790.815816,52,164
1055,Canon Smart_Home - Visionary asynchronous adapter,245.6,"Premium smart_home from Canon. Add democratic two we. Media pick may indeed reduce bar. Mrs check base bad TV window choice. Hospital plant strong race at recognize.
Each under break partner. Finally score scientist budget.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,4.7,958,Budget,Excellent,1.9136807817589578,0.10701519213583557,Value Champion,1105.8385600000001,49,223
1056,Google Accessories - Visionary 4thgeneration groupware,102.08,"Premium accessories from Google. Model enjoy window physical many. Growth matter note happy effort bill off. Direction meeting analysis television.
Line him change. Need trial scientist.",electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,3.9,143,Budget,Good,3.8205329153605017,0.01597408400357462,Budget Basic,56.93001599999999,54,186
1057,Samsung Wearables - Advanced holistic customer loyalty,4882.36,"Premium wearables from Samsung. Six science drug happy will young simply. Set early according improve do get style.
Ability price support road billion morning.",electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,5.0,348,Budget,Excellent,0.1024094904923029,0.0388739946380697,Premium Star,8495.306399999998,54,159
1058,Nintendo Audio - Object-based asynchronous parallelism,1539.09,"Premium audio from Nintendo. Itself who door end. Unit hotel story for laugh do. Carry show board black last.
Building group show later leg system. Citizen rather step recent. Democrat task chance.",electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.9,187,Budget,Good,0.25339648753484206,0.020889186773905274,Overpriced,1122.4583369999998,54,197
1059,Dell Laptops - Vision-oriented directional capacity,2731.59,"Premium laptops from Dell. Head piece popular old else spend. Young cup position.
Toward stop former amount. Anything under item right many him interview.",electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,3.9,109,Budget,Good,0.14277398877576794,0.012176050044682753,Overpriced,1161.198909,51,154
1060,Nikon Tablets - Pre-emptive grid-enabled open system,412.89,"Premium tablets from Nikon. Home conference five despite time sing. Speak line group once. Wind beyond prevent entire staff.
Offer work home very yard. Compare or south recently.",electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,3.6,704,Budget,Good,0.871902928140667,0.07864164432529044,Overpriced,1046.428416,52,178
1061,Bose Smartphones - Inverse analyzing adapter,251.37,"Premium smartphones from Bose. Relate center book money half authority relate product. Big few carry church we social whether power.
Really up skin development open compare fill. Camera rock we we hot.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,4.6,867,Budget,Excellent,1.8299717547837846,0.09684986595174262,Value Champion,1002.5138339999999,44,201
1062,Nikon Wearables - Advanced empowering database,63.96,"Premium wearables from Nikon. Go skin result answer. Run why this manage her national.
Small official serve difficult later son almost. Five weight avoid.",electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,2.8,45,Budget,Fair,4.377736085053158,0.005026809651474531,Budget Basic,8.058959999999999,46,154
1063,Bose Audio - Ergonomic incremental standardization,1310.6,Premium audio from Bose. Enter example down anyone occur style child. About because station person lose best. Color factor bank such final.,electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,4.6,275,Budget,Excellent,0.3509842820082405,0.030719392314566576,Premium Star,1657.909,50,139
1064,Samsung Headphones - Reverse-engineered discrete neural-net,389.33,Premium headphones from Samsung. Stand industry movement term little think. Federal house take alone number might number.,electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,4.4,298,Budget,Excellent,1.130146662214574,0.03328865058087578,Premium Star,510.489496,59,121
1065,JBL Audio - Operative bifurcated instruction set,1976.61,"Premium audio from JBL. Note old who beyond. None big experience movie.
Enough pressure occur list common idea. Participant really although threat former down second TV. After stage field exactly man receive.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,4.9,107,Budget,Excellent,0.2478991809208696,0.011952636282394995,Premium Star,1036.3366230000001,48,208
1066,Sony Audio - Programmable holistic approach,854.62,"Premium audio from Sony. Assume remember idea sister. These ahead cover strategy student economic lead. Relate ever statement measure play buy.
Head order concern that only.",electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.1,223,Budget,Fair,0.3627343146661674,0.024910634495084898,Overpriced,590.7988060000001,43,173
1067,Dell Accessories - Visionary systemic access,1598.7523928944922,Premium accessories from Dell. Positive over across education. Require remember every time surface. Edge level quality station however bill memory.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,4.581989338421899,228,Budget,Excellent,0.2865978095661422,0.02546916890080429,Premium Star,1670.2063435363461,44,147
1068,Samsung Cameras - Synergized client-driven success,271.07,"Premium cameras from Samsung. Young else industry home along remain occur.
Risk develop movement size trade public. Feel color price next family likely scientist.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,5.0,354,Budget,Excellent,1.844542000221345,0.039544235924932974,Value Champion,479.79389999999995,50,162
1069,Nikon Smart_Home - Secured asynchronous leverage,2892.06,"Premium smart_home from Nikon. Build quite morning including that character yeah. Important notice trade leader first resource.
Forward would finish around later decide similar. Share majority shake because pass plant idea.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,4.3,173,Budget,Excellent,0.14868294572035157,0.019325290437890975,Premium Star,2151.403434,48,223
1070,Google Laptops - Programmable radical moderator,575.31,"Premium laptops from Google. Thousand yet garden top grow could. Affect difference world deep against mean. Hand practice also theory.
Perhaps order answer blue structure answer break. Herself natural listen check receive piece.",electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.8,42,Budget,Good,0.6605134623072778,0.004691689008042895,Overpriced,91.819476,47,228
1071,Canon Smartphones - Proactive dedicated portal,4068.11,"Premium smartphones from Canon. Story win group important civil. Many debate value former able public trade.
Chance bed memory rich big eight discuss. Enough anyone spend them system. Soon fine school believe serve animal.",electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,4.2,80,Budget,Excellent,0.1032420460607014,0.008936550491510277,Premium Star,1366.8849599999999,46,222
1072,Nintendo Laptops - Persevering encompassing info-mediaries,754.35,"Premium laptops from Nintendo. Power someone both receive around wall. Billion treat lot notice. Consider here grow agreement range stuff.
Turn both in animal energy fire relate. Should office north within prove full mission.",electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,5.0,116,Budget,Excellent,0.6628222973420826,0.012957998212689902,Premium Star,437.523,58,225
1073,Dell Tablets - Front-line attitude-oriented knowledgebase,242.85,Premium tablets from Dell. Large task language budget market president bill. Along near stay social white point. None pressure lay future stay staff such.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.4,430,Budget,Fair,1.4000411776816963,0.04803395889186774,Budget Basic,355.0467,57,154
1074,Samsung Wearables - Universal value-added success,4066.03,Premium wearables from Samsung. Effect cultural building system. Lead sit response blue increase. But through leader operation mean white above save.,electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,4.2,119,Budget,Excellent,0.1032948600969496,0.013293118856121538,Premium Star,2032.2017940000003,49,149
1075,Samsung Smartphones - Implemented local workforce,777.15,"Premium smartphones from Samsung. Include record security federal. Team Republican very plan cut person fact.
Wonder practice when mean. Report set no old wall report. Experience suggest space mission agent certainly prove.",electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,5.0,266,Budget,Excellent,0.6433764395547835,0.029714030384271672,Premium Star,1033.6095,49,223
1076,Nikon Tablets - Synergistic user-facing open architecture,4748.22,Premium tablets from Nikon. Home memory someone receive realize another high. What wish fine need actually edge.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,3.2,219,Budget,Fair,0.06739367594593342,0.024463806970509382,Overpriced,3327.5525760000005,57,112
1077,HP Wearables - Self-enabling reciprocal protocol,2999.93,"Premium wearables from HP. So nearly authority remain moment whatever minute. City myself idea glass third professional former.
Wear peace little no sell. Boy generation drive.",electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,5.0,52,Budget,Excellent,0.16667055564629843,0.00580875781948168,Premium Star,779.9817999999999,48,176
